Player,Squad,role,Age,valM,mourinho_score
Malo Gusto,Lyon,full_back,18.0,35.0,79.39200000000001
Melvin Bard,Nice,full_back,20.0,15.0,73.03999999999999
Lucien Agoume,Brest,defensive_mid,19.0,7.0,68.3235294117647
Vanderson,Monaco,full_back,20.0,20.0,63.29600000000001
Fabiano Parisi,Empoli,full_back,20.0,10.0,62.216
Nuno Mendes,Paris S-G,full_back,19.0,75.0,60.912
Georginio Rutter,Hoffenheim,striker,19.0,32.0,59.30000000000001
Quentin Merlin,Nantes,full_back,19.0,15.0,52.552
Luke Thomas,Leicester City,full_back,20.0,12.0,45.440000000000005
Arnaud Kalimuendo,Lens,striker,19.0,30.0,45.300000000000004
Amadou Onana,Lille,defensive_mid,19.0,55.0,44.05882352941177
Dion Lopy,Reims,defensive_mid,19.0,10.0,43.426470588235304
Nicolò Rovella,Genoa,defensive_mid,19.0,30.0,42.220588235294116
Jeremie Frimpong,Leverkusen,full_back,20.0,50.0,40.07999999999999
Joe Scally,M'Gladbach,full_back,18.0,12.0,31.848
Joris Chotard,Montpellier,defensive_mid,19.0,10.0,30.779411764705884
Aaron Hickey,Bologna,full_back,19.0,30.0,26.192
Martin Satriano,Brest,striker,20.0,8.0,20.825000000000003
Martinelli,Arsenal,defensive_mid,20.0,,6.6764705882352935
