name,sub_position,role,age,valM
Kylian Mbappé,Centre-Forward,striker,27.0,200.0
Vinicius Junior,Left Winger,wide_attacker,25.0,180.0
Jude Bellingham,Attacking Midfield,wide_attacker,22.0,180.0
Federico Valverde,Central Midfield,central_mid,27.0,130.0
Trent Alexander-Arnold,Right-Back,full_back,27.0,110.0
Rodrygo,Right Winger,wide_attacker,24.0,110.0
Eduardo Camavinga,Central Midfield,central_mid,23.0,100.0
Aurélien Tchouaméni,Defensive Midfield,defensive_mid,25.0,100.0
Éder Militão,Centre-Back,center_back,27.0,70.0
David Alaba,Centre-Back,center_back,33.0,65.0
Álvaro Carreras,Left-Back,full_back,22.0,60.0
Daniel Carvajal,Right-Back,full_back,33.0,60.0
Antonio Rüdiger,Centre-Back,center_back,32.0,50.0
Ferland Mendy,Left-Back,full_back,30.0,50.0
Dani Ceballos,Central Midfield,central_mid,29.0,45.0
Arda Güler,Attacking Midfield,wide_attacker,20.0,45.0
Brahim Díaz,Right Winger,wide_attacker,26.0,40.0
Fran García,Left-Back,full_back,26.0,18.0
Jesús Vallejo,Centre-Back,center_back,28.0,15.0
Dean Huijsen,Centre-Back,center_back,20.0,10.0
David Jiménez,Right-Back,full_back,21.0,3.0
Gonzalo García,Centre-Forward,striker,21.0,1.0
Manuel Ángel,Central Midfield,central_mid,21.0,
Lorenzo Aguado,Right-Back,full_back,23.0,
Pol Fortuny,Attacking Midfield,wide_attacker,20.0,
Raúl Asencio,Centre-Back,center_back,22.0,
Jesús Fortea,Right-Back,full_back,18.0,
Hugo de Llanos,Left Winger,wide_attacker,20.0,
César Palacios,Attacking Midfield,wide_attacker,21.0,
Daniel Yáñez,Right Winger,wide_attacker,18.0,
Franco Mastantuono,Right Winger,wide_attacker,18.0,
Mario Rivas,Centre-Back,center_back,18.0,
Jorge Cestero,Central Midfield,central_mid,19.0,
Víctor Valdepeñas,Centre-Back,center_back,19.0,
Diego Aguado,Centre-Back,center_back,18.0,
Thiago Pitarch,Central Midfield,central_mid,18.0,
