Url,Season_End_Year,Squad,Player,Comp,Pos,Age,Min_Playing,G_minus_PK_Per,npxG_Per,xAG_Per,Cmp_percent_Total,CrsPA,Final_Third,KP,Prog,Blocks_Blocks,Clr,Err,Int,Mid 3rd_Tackles,Tkl+Int,TklW_Tackles,Att Pen_Touches,Final_Third_Carries,Mis_Carries,Prog_Carries,Prog_Receiving,Succ_Dribbles,Recov,Won_Aerial,Won_percent_Aerial,GCA90_GCA,SCA90_SCA,prim_pos,season_total_min,n_clubs,role,tier,role_source,market_value_eur
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,2021,Everton,Jonjoe Kenny,Premier League,DF,23.0,79.0,0.0,0.0,0.0,77.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,8.0,0.0,,0.0,1.14,DF,79.0,1,full_back,B,tm,12000000.0
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,2022,Everton,Jonjoe Kenny,Premier League,DF,24.0,1018.0,0.0,0.03,0.08,74.4,6.0,31.0,11.0,31.0,17.0,21.0,0.0,32.0,9.0,51.0,12.0,11.0,14.0,4.0,31.0,12.0,3.0,93.0,13.0,44.8,0.18,1.77,DF,1018.0,1,full_back,B,tm,12000000.0
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,2023,Hertha BSC,Jonjoe Kenny,Bundesliga,DF,25.0,1080.0,0.0,0.02,0.08,74.1,4.0,53.0,8.0,42.0,13.0,24.0,0.0,21.0,8.0,40.0,13.0,9.0,,,,17.0,3.0,76.0,12.0,66.7,0.09,1.91,DF,1080.0,1,full_back,B,tm,12000000.0
https://fbref.com/en/players/0d077b88/Mehdi-Bourabia,2021,Sassuolo,Mehdi Bourabia,Serie A,MF,28.0,528.0,0.17,0.09,0.02,84.5,0.0,33.0,4.0,15.0,18.0,11.0,0.0,8.0,5.0,16.0,6.0,5.0,6.0,4.0,22.0,7.0,9.0,67.0,12.0,80.0,0.17,1.19,MF,528.0,1,central_mid,B,tm,4000000.0
https://fbref.com/en/players/0d077b88/Mehdi-Bourabia,2022,Spezia,Mehdi Bourabia,Serie A,MF,29.0,282.0,0.32,0.01,0.03,80.2,0.0,7.0,1.0,6.0,12.0,8.0,1.0,6.0,3.0,11.0,2.0,0.0,2.0,0.0,8.0,1.0,4.0,28.0,2.0,66.7,0.32,0.64,MF,282.0,1,central_mid,B,tm,4000000.0
https://fbref.com/en/players/0d077b88/Mehdi-Bourabia,2023,Spezia,Mehdi Bourabia,Serie A,MF,31.0,990.0,0.0,0.02,0.06,80.0,1.0,37.0,11.0,33.0,14.0,19.0,0.0,17.0,10.0,36.0,8.0,1.0,,,,4.0,9.0,84.0,7.0,63.6,0.3,2.2,MF,990.0,1,central_mid,B,tm,4000000.0
https://fbref.com/en/players/16264a81/Moises-Caicedo,2022,Brighton,Moisés Caicedo,Premier League,MF,19.0,660.0,0.14,0.14,0.06,81.8,0.0,14.0,5.0,21.0,13.0,11.0,0.0,12.0,6.0,32.0,12.0,15.0,10.0,7.0,21.0,5.0,9.0,84.0,11.0,64.7,0.27,1.36,MF,660.0,1,defensive_mid,B,tm,110000000.0
https://fbref.com/en/players/16264a81/Moises-Caicedo,2023,Brighton,Moisés Caicedo,Premier League,MF,21.0,1065.0,0.08,0.06,0.09,87.1,2.0,55.0,12.0,51.0,11.0,9.0,1.0,15.0,18.0,48.0,15.0,12.0,,,,22.0,1.0,67.0,12.0,63.2,0.18,2.12,MF,1065.0,1,defensive_mid,B,tm,110000000.0
https://fbref.com/en/players/28b40c9c/Tim-Ream,2021,Fulham,Tim Ream,Premier League,DF,32.0,630.0,0.0,0.0,0.0,91.2,0.0,31.0,0.0,24.0,14.0,31.0,1.0,4.0,2.0,14.0,4.0,0.0,2.0,1.0,29.0,0.0,1.0,63.0,11.0,55.0,0.0,0.14,DF,630.0,1,center_back,B,tm,4000000.0
https://fbref.com/en/players/28b40c9c/Tim-Ream,2023,Fulham,Tim Ream,Premier League,DF,35.0,1167.0,0.0,0.0,0.0,84.9,0.0,47.0,0.0,23.0,18.0,42.0,0.0,20.0,5.0,35.0,9.0,3.0,,,,0.0,3.0,68.0,13.0,61.9,0.0,0.84,DF,1167.0,1,center_back,B,tm,4000000.0
