Url,Season_End_Year,Squad,Player,Comp,Pos,Age,Min_Playing,G_minus_PK_Per,npxG_Per,xAG_Per,Cmp_percent_Total,CrsPA,Final_Third,KP,Prog,Blocks_Blocks,Clr,Err,Int,Mid 3rd_Tackles,Tkl+Int,TklW_Tackles,Att Pen_Touches,Final_Third_Carries,Mis_Carries,Prog_Carries,Prog_Receiving,Succ_Dribbles,Recov,Won_Aerial,Won_percent_Aerial,GCA90_GCA,SCA90_SCA,prim_pos,season_total_min,n_clubs,role,tier,role_source,market_value_eur
https://fbref.com/en/players/0967845b/Fabiano-Parisi,2022,Empoli,Fabiano Parisi,Serie A,DF,20.0,1477.0,0.0,0.06,0.02,75.6,0.0,56.0,10.0,76.0,44.0,27.0,0.0,54.0,11.0,94.0,26.0,23.0,48.0,27.0,102.0,17.0,23.0,165.0,4.0,23.5,0.3,1.77,DF,1477.0,1,full_back,C,tm,10000000.0
https://fbref.com/en/players/0967845b/Fabiano-Parisi,2023,Empoli,Fabiano Parisi,Serie A,DF,21.0,950.0,0.09,0.04,0.1,73.7,7.0,31.0,13.0,31.0,14.0,31.0,0.0,15.0,10.0,45.0,17.0,6.0,,,,12.0,17.0,80.0,8.0,57.1,0.28,2.56,DF,950.0,1,full_back,C,tm,10000000.0
https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,2022,Nantes,Quentin Merlin,Ligue 1,"DF,MF",19.0,1926.0,0.09,0.03,0.15,76.2,13.0,104.0,31.0,126.0,38.0,24.0,0.0,41.0,22.0,94.0,27.0,15.0,39.0,14.0,133.0,34.0,20.0,145.0,8.0,22.9,0.28,2.62,DF,1926.0,1,full_back,C,tm,15000000.0
https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,2023,Nantes,Quentin Merlin,Ligue 1,DF,20.0,965.0,0.0,0.02,0.13,76.8,5.0,37.0,16.0,43.0,14.0,12.0,0.0,11.0,4.0,27.0,11.0,5.0,,,,18.0,9.0,58.0,8.0,66.7,0.2,2.55,DF,965.0,1,full_back,C,tm,15000000.0
https://fbref.com/en/players/0c7a48f8/Piero-Hincapie,2022,Leverkusen,Piero Hincapié,Bundesliga,DF,19.0,1754.0,0.05,0.04,0.06,82.8,3.0,47.0,8.0,67.0,44.0,62.0,0.0,56.0,11.0,94.0,24.0,16.0,31.0,17.0,92.0,18.0,17.0,179.0,57.0,58.2,0.21,0.87,DF,1754.0,1,center_back,C,tm,50000000.0
https://fbref.com/en/players/0c7a48f8/Piero-Hincapie,2023,Leverkusen,Piero Hincapié,Bundesliga,DF,20.0,737.0,0.12,0.07,0.04,81.2,2.0,15.0,4.0,18.0,13.0,22.0,1.0,9.0,6.0,22.0,7.0,10.0,,,,5.0,4.0,44.0,17.0,58.6,0.28,0.97,DF,737.0,1,center_back,C,tm,50000000.0
https://fbref.com/en/players/0d7b6576/Sepe-Elye-Wahi,2021,Montpellier,Sepe Elye Wahi,Ligue 1,"FW,MF",17.0,555.0,0.49,0.4,0.06,65.5,0.0,6.0,7.0,5.0,4.0,5.0,0.0,2.0,1.0,6.0,2.0,31.0,10.0,18.0,30.0,47.0,8.0,38.0,12.0,46.2,0.49,2.43,FW,555.0,1,wide_attacker,C,fbref,
https://fbref.com/en/players/0d7b6576/Sepe-Elye-Wahi,2022,Montpellier,Sepe Elye Wahi,Ligue 1,"FW,MF",18.0,1786.0,0.5,0.38,0.05,66.7,1.0,8.0,12.0,9.0,18.0,3.0,0.0,6.0,8.0,29.0,14.0,86.0,9.0,58.0,48.0,108.0,10.0,61.0,14.0,20.0,0.3,1.36,FW,1786.0,1,wide_attacker,C,fbref,
https://fbref.com/en/players/0d7b6576/Sepe-Elye-Wahi,2023,Montpellier,Sepe Elye Wahi,Ligue 1,"FW,MF",19.0,995.0,0.54,0.3,0.04,69.6,0.0,5.0,5.0,4.0,4.0,4.0,0.0,3.0,2.0,8.0,3.0,45.0,,,,62.0,6.0,18.0,7.0,17.9,0.27,1.54,FW,995.0,1,wide_attacker,C,fbref,
https://fbref.com/en/players/0d9b2d31/Pedri,2021,Barcelona,Pedri,La Liga,MF,17.0,2415.0,0.11,0.16,0.13,87.6,1.0,118.0,40.0,126.0,59.0,4.0,0.0,35.0,22.0,83.0,34.0,93.0,64.0,49.0,169.0,153.0,25.0,176.0,7.0,41.2,0.3,2.94,MF,2415.0,1,central_mid,C,tm,100000000.0
https://fbref.com/en/players/0d9b2d31/Pedri,2022,Barcelona,Pedri,La Liga,MF,18.0,885.0,0.31,0.14,0.12,85.0,0.0,54.0,16.0,55.0,20.0,4.0,1.0,11.0,8.0,29.0,12.0,24.0,16.0,8.0,63.0,56.0,12.0,85.0,4.0,36.4,0.61,3.97,MF,885.0,1,central_mid,C,tm,100000000.0
https://fbref.com/en/players/0d9b2d31/Pedri,2023,Barcelona,Pedri,La Liga,MF,19.0,847.0,0.21,0.12,0.22,90.8,0.0,59.0,15.0,46.0,14.0,6.0,0.0,8.0,7.0,19.0,6.0,13.0,,,,24.0,10.0,41.0,0.0,0.0,0.71,3.8,MF,847.0,1,central_mid,C,tm,100000000.0
https://fbref.com/en/players/132a82f1/Wesley-Fofana,2021,Leicester City,Wesley Fofana,Premier League,DF,19.0,2262.0,0.0,0.04,0.01,88.2,0.0,112.0,6.0,78.0,47.0,125.0,0.0,51.0,24.0,114.0,41.0,18.0,38.0,17.0,171.0,5.0,13.0,279.0,94.0,62.7,0.04,0.72,DF,2577.0,2,center_back,C,tm,65000000.0
https://fbref.com/en/players/132a82f1/Wesley-Fofana,2022,Leicester City,Wesley Fofana,Premier League,DF,20.0,630.0,0.0,0.09,0.01,89.7,0.0,24.0,2.0,15.0,6.0,28.0,1.0,16.0,1.0,26.0,5.0,5.0,5.0,1.0,35.0,1.0,2.0,76.0,23.0,65.7,0.0,0.57,DF,630.0,1,center_back,C,tm,65000000.0
https://fbref.com/en/players/132a82f1/Wesley-Fofana,2023,Chelsea,Wesley Fofana,Premier League,DF,21.0,180.0,0.0,0.01,0.0,90.5,0.0,5.0,0.0,3.0,2.0,3.0,0.0,5.0,2.0,8.0,1.0,1.0,,,,4.0,0.0,12.0,4.0,57.1,0.0,0.5,DF,360.0,2,center_back,C,tm,65000000.0
https://fbref.com/en/players/1544f145/Jacob-Ramsey,2021,Aston Villa,Jacob Ramsey,Premier League,MF,19.0,626.0,0.0,0.07,0.04,85.5,1.0,16.0,6.0,15.0,17.0,9.0,0.0,6.0,6.0,17.0,7.0,21.0,9.0,10.0,20.0,28.0,9.0,54.0,5.0,22.7,0.14,2.01,MF,626.0,1,central_mid,C,tm,42000000.0
https://fbref.com/en/players/1544f145/Jacob-Ramsey,2022,Aston Villa,Jacob Ramsey,Premier League,MF,20.0,2467.0,0.22,0.17,0.08,86.2,3.0,88.0,19.0,93.0,41.0,27.0,0.0,38.0,27.0,104.0,41.0,60.0,60.0,52.0,165.0,80.0,24.0,178.0,22.0,38.6,0.11,2.3,MF,2467.0,1,central_mid,C,tm,42000000.0
https://fbref.com/en/players/1544f145/Jacob-Ramsey,2023,Aston Villa,Jacob Ramsey,Premier League,MF,21.0,863.0,0.1,0.08,0.1,83.6,0.0,38.0,11.0,19.0,25.0,6.0,0.0,12.0,13.0,36.0,17.0,21.0,,,,34.0,3.0,55.0,5.0,27.8,0.11,3.02,MF,863.0,1,central_mid,C,tm,42000000.0
https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi,2021,Chelsea,Callum Hudson-Odoi,Premier League,"MF,DF",19.0,1059.0,0.17,0.11,0.24,82.2,11.0,24.0,31.0,55.0,18.0,8.0,0.0,10.0,7.0,34.0,12.0,71.0,33.0,13.0,161.0,101.0,15.0,73.0,5.0,31.3,0.68,4.84,MF,1059.0,1,wide_attacker,C,tm,35000000.0
https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi,2022,Chelsea,Callum Hudson-Odoi,Premier League,"MF,FW",20.0,962.0,0.09,0.24,0.23,79.6,5.0,9.0,24.0,31.0,13.0,5.0,0.0,5.0,7.0,18.0,6.0,62.0,25.0,16.0,105.0,73.0,19.0,55.0,5.0,29.4,0.56,4.77,MF,962.0,1,wide_attacker,C,tm,35000000.0
https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi,2023,Leverkusen,Callum Hudson-Odoi,Bundesliga,"MF,FW",21.0,379.0,0.0,0.02,0.15,85.7,1.0,10.0,8.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,,,,20.0,5.0,13.0,0.0,0.0,0.49,3.69,MF,379.0,1,wide_attacker,C,tm,35000000.0
https://fbref.com/en/players/16aa3654/Takefusa-Kubo,2021,Getafe,Takefusa Kubo,La Liga,"MF,FW",19.0,805.0,0.11,0.08,0.13,71.4,0.0,6.0,9.0,21.0,22.0,7.0,0.0,12.0,5.0,20.0,5.0,31.0,12.0,28.0,48.0,58.0,20.0,58.0,5.0,19.2,0.34,2.35,MF,1104.0,2,wide_attacker,C,tm,60000000.0
https://fbref.com/en/players/16aa3654/Takefusa-Kubo,2022,Mallorca,Takefusa Kubo,La Liga,"MF,FW",20.0,1605.0,0.06,0.18,0.19,70.3,7.0,29.0,31.0,63.0,32.0,8.0,0.0,20.0,13.0,48.0,24.0,74.0,39.0,42.0,140.0,83.0,36.0,115.0,13.0,41.9,0.22,3.87,MF,1605.0,1,wide_attacker,C,tm,60000000.0
https://fbref.com/en/players/16aa3654/Takefusa-Kubo,2023,Real Sociedad,Takefusa Kubo,La Liga,"FW,MF",21.0,761.0,0.24,0.14,0.27,70.1,1.0,8.0,10.0,14.0,6.0,1.0,0.0,2.0,5.0,17.0,7.0,42.0,,,,49.0,4.0,26.0,7.0,38.9,0.35,2.72,FW,761.0,1,wide_attacker,C,tm,60000000.0
https://fbref.com/en/players/1780bb4a/Aaron-Hickey,2021,Bologna,Aaron Hickey,Serie A,DF,18.0,758.0,0.0,0.01,0.01,83.9,1.0,24.0,4.0,24.0,17.0,15.0,0.0,12.0,2.0,25.0,6.0,10.0,18.0,10.0,34.0,16.0,8.0,79.0,3.0,42.9,0.12,0.83,DF,758.0,1,full_back,C,tm,30000000.0
https://fbref.com/en/players/1780bb4a/Aaron-Hickey,2022,Bologna,Aaron Hickey,Serie A,DF,19.0,2820.0,0.16,0.04,0.05,81.8,9.0,37.0,18.0,51.0,66.0,46.0,0.0,39.0,12.0,84.0,22.0,33.0,45.0,32.0,132.0,76.0,28.0,180.0,17.0,29.3,0.13,1.24,DF,2820.0,1,full_back,C,tm,30000000.0
https://fbref.com/en/players/1780bb4a/Aaron-Hickey,2023,Brentford,Aaron Hickey,Premier League,DF,20.0,679.0,0.0,0.01,0.0,79.9,1.0,19.0,1.0,14.0,9.0,11.0,0.0,10.0,8.0,30.0,14.0,7.0,,,,12.0,7.0,32.0,4.0,50.0,0.0,1.19,DF,679.0,1,full_back,C,tm,30000000.0
https://fbref.com/en/players/19cae58d/Gavi,2022,Barcelona,Gavi,La Liga,"MF,FW",16.0,2316.0,0.08,0.17,0.12,,,,,,,,,,,,,,,,,,,,,,,,MF,2316.0,1,central_mid,C,tm,90000000.0
https://fbref.com/en/players/19cae58d/Gavi,2023,Barcelona,Gavi,La Liga,MF,18.0,763.0,0.0,0.02,0.17,88.1,2.0,34.0,17.0,24.0,7.0,3.0,0.0,10.0,6.0,22.0,10.0,22.0,,,,41.0,8.0,39.0,9.0,60.0,0.25,4.09,MF,763.0,1,central_mid,C,tm,90000000.0
https://fbref.com/en/players/1a066e69/Maxime-Esteve,2022,Montpellier,Maxime Estève,Ligue 1,DF,19.0,1857.0,0.0,0.04,0.01,86.0,0.0,26.0,1.0,29.0,35.0,80.0,1.0,44.0,8.0,78.0,19.0,11.0,2.0,4.0,31.0,1.0,2.0,147.0,36.0,54.5,0.0,0.24,DF,1857.0,1,center_back,C,tm,7000000.0
https://fbref.com/en/players/1a066e69/Maxime-Esteve,2023,Montpellier,Maxime Estève,Ligue 1,DF,20.0,632.0,0.0,0.03,0.0,82.2,0.0,14.0,0.0,12.0,13.0,47.0,0.0,16.0,0.0,25.0,4.0,5.0,,,,0.0,2.0,33.0,14.0,63.6,0.0,0.57,DF,632.0,1,center_back,C,tm,7000000.0
